H2,CH4,C2H2,C2H4,C2H6,CH4/H2,C2H2/C2H4,C2H4/C2H6,C2H4/CH4,C2H2/CH4,C2H2/H2,%CH4,%C2H2,%C2H4,%H2,%C2H6,Decision
3930.0,2397.0,0.0,0.0,157.0,0.6099236641221374,0.0,0.0,0.0,0.0,0.0,36.967921036397286,0.0,0.0,60.610734114743984,2.421344848858729,1
37800.0,1740.0,8.0,8.0,249.0,0.046031746031746035,1.0,0.0321285140562249,0.004597701149425287,0.004597701149425287,0.00021164021164021165,4.371310136917472,0.020097977640999874,0.020097977640999874,94.96294435372441,0.6255495540761211,1
92600.0,10200.0,0.0,0.0,0.0,0.1101511879049676,0.0,0.0,0.0,0.0,0.0,9.922178988326849,0.0,0.0,90.07782101167315,0.0,1
8266.0,1061.0,0.0,0.0,22.0,0.12835712557464313,0.0,0.0,0.0,0.0,0.0,11.348807359075836,0.0,0.0,88.41587335543909,0.2353192854850786,1
9340.0,995.0,7.0,6.0,60.0,0.10653104925053533,1.1666666666666667,0.1,0.006030150753768844,0.007035175879396985,0.0007494646680942184,9.559953881629516,0.06725595695618755,0.05764796310530361,89.73866256725596,0.5764796310530361,1
36036.0,4704.0,10.0,5.0,554.0,0.13053613053613053,2.0,0.009025270758122744,0.0010629251700680273,0.0021258503401360546,0.0002775002775002775,11.38734900384904,0.024207799753080444,0.012103899876540222,87.23522719020069,1.3411121063206566,1
33046.0,619.0,0.0,2.0,58.0,0.018731465230285058,0.0,0.034482758620689655,0.0032310177705977385,0.0,0.0,1.8354336545589325,0.0,0.005930318754633061,97.98665678280207,0.17197924388435878,1
40280.0,1069.0,1.0,1.0,1060.0,0.02653922542204568,1.0,0.0009433962264150943,0.0009354536950420954,0.0009354536950420954,2.4826216484607746e-05,2.5205724929853104,0.002357878852184575,0.002357878852184575,94.97536016599467,2.4993515833156494,1
26788.0,18342.0,0.0,27.0,2111.0,0.684709571449903,0.0,0.012790146849834202,0.0014720314033366045,0.0,0.0,38.804265041888804,0.0,0.05712109672505712,56.67259033595667,4.466023525429466,1
78.0,20.0,28.0,13.0,11.0,0.2564102564102564,2.1538461538461537,1.1818181818181819,0.65,1.4,0.358974358974359,13.333333333333334,18.666666666666668,8.666666666666666,52.0,7.333333333333333,2
